fid,repDist,prec,apRec,bureau,basicCar,agency,name,shapeLeng,abbrevApr,shapeArea,shapeLength
1,1901,19,MISSION,VALLEY BUREAU,19A1,PD,1901,0.09909944,MISN,5967865.74609375,11878.5846789846
2,1705,17,DEVONSHIRE,VALLEY BUREAU,17A35,PD,1705,0.14883168,DEV,15011150,18058.8362720829
3,1902,19,MISSION,VALLEY BUREAU,19A7,PD,1902,0.08205431,MISN,4577939.71875,9886.99173506443
4,1903,19,MISSION,VALLEY BUREAU,19A7,PD,1903,0.04568461,MISN,1495087.79296875,5390.79398948868
5,1904,19,MISSION,VALLEY BUREAU,19A7,PD,1904,0.0617542,MISN,2352256.08203125,7388.62269407025
6,1906,19,MISSION,VALLEY BUREAU,19A7,PD,1906,0.05713132,MISN,2051118.2734375,6912.8279578764
7,1909,19,MISSION,VALLEY BUREAU,19A7,PD,1909,0.08638455,MISN,4094130.8984375,10342.1586923943
8,1908,19,MISSION,VALLEY BUREAU,19A7,PD,1908,0.1008619,MISN,2770228.453125,12542.3156721623
9,1912,19,MISSION,VALLEY BUREAU,19A1,PD,1912,0.06025683,MISN,2637214.83203125,7073.28188833031
10,1905,19,MISSION,VALLEY BUREAU,19A7,PD,1905,0.0336557,MISN,1040929.76171875,4086.75754908576
11,1708,17,DEVONSHIRE,VALLEY BUREAU,17A49,PD,1708,0.12631396,DEV,13812573.1640625,15707.8849838256
12,1917,19,MISSION,VALLEY BUREAU,19A7,PD,1917,0.02567568,MISN,523269.76171875,3112.85167345182
13,1907,19,MISSION,VALLEY BUREAU,19A7,PD,1907,0.0600845,MISN,2075384.8671875,7295.96785453645
14,1911,19,MISSION,VALLEY BUREAU,19A1,PD,1911,0.04301987,MISN,1374632.45703125,5174.06084649827
15,1916,19,MISSION,VALLEY BUREAU,19A7,PD,1916,0.04355838,MISN,1615027.375,5269.80350885714
16,1918,19,MISSION,VALLEY BUREAU,19A7,PD,1918,0.05242179,MISN,1524420.25390625,6392.32166690912
17,1915,19,MISSION,VALLEY BUREAU,19A1,PD,1915,0.04186031,MISN,1014889.60546875,4806.74015286254
18,1919,19,MISSION,VALLEY BUREAU,19A7,PD,1919,0.06812427,MISN,1997112.625,8714.1654041235
19,1707,17,DEVONSHIRE,VALLEY BUREAU,17A35,PD,1707,0.05843335,DEV,1666613.91015625,7040.78612914888
20,1715,17,DEVONSHIRE,VALLEY BUREAU,17A35,PD,1715,0.10168044,DEV,6251884.57421875,12187.5751078496
21,1703,17,DEVONSHIRE,VALLEY BUREAU,17A35,PD,1703,0.04553193,DEV,1171434.6328125,5368.62520265986
22,1603,16,FOOTHILL,VALLEY BUREAU,16A35,PD,1603,0.06535716,FTHL,2617833.88671875,7890.25146964296
23,1714,17,DEVONSHIRE,VALLEY BUREAU,17A35,PD,1714,0.10947535,DEV,3652281.8515625,13300.3222252333
24,1716,17,DEVONSHIRE,VALLEY BUREAU,17A35,PD,1716,0.05722088,DEV,2122926.984375,7122.62141505715
25,1601,16,FOOTHILL,VALLEY BUREAU,16A11,PD,1601,0.04509073,FTHL,1673220.875,5621.15252440941
26,1618,16,FOOTHILL,VALLEY BUREAU,16A35,PD,1618,0.12909405,FTHL,6400243.57421875,15424.6290178615
27,1712,17,DEVONSHIRE,VALLEY BUREAU,17A35,PD,1712,0.05228622,DEV,2722572.84375,6465.00133475175
28,1602,16,FOOTHILL,VALLEY BUREAU,16A11,PD,1602,0.05959203,FTHL,2213271.2265625,7127.37396755754
29,1713,17,DEVONSHIRE,VALLEY BUREAU,17A35,PD,1713,0.04397516,DEV,1640045.3359375,5393.33189172908
30,1709,17,DEVONSHIRE,VALLEY BUREAU,17A49,PD,1709,0.03187609,DEV,673597.84375,3787.00700302524
31,1617,16,FOOTHILL,VALLEY BUREAU,16A35,PD,1617,0.12263153,FTHL,6101287.86328125,14761.1340778972
32,1611,16,FOOTHILL,VALLEY BUREAU,16A11,PD,1611,0.03970179,FTHL,1399788.28515625,4925.99646699931
33,1614,16,FOOTHILL,VALLEY BUREAU,16A35,PD,1614,0.01154123,FTHL,88045.97265625,1406.16694220661
34,1613,16,FOOTHILL,VALLEY BUREAU,16A23,PD,1613,0.03306169,FTHL,782156.0859375,3993.73207175503
35,1612,16,FOOTHILL,VALLEY BUREAU,16A11,PD,1612,0.044199,FTHL,1770580.93359375,5368.91628561296
36,1729,17,DEVONSHIRE,VALLEY BUREAU,17A35,PD,1729,0.06418576,DEV,2664320.52734375,7470.91925805708
37,1717,17,DEVONSHIRE,VALLEY BUREAU,17A49,PD,1717,0.04818407,DEV,1212863.32421875,5734.54642046541
38,1944,19,MISSION,VALLEY BUREAU,19A43,PD,1944,0.05074992,MISN,1425699.0234375,6303.20875244674
39,1718,17,DEVONSHIRE,VALLEY BUREAU,17A49,PD,1718,0.03988467,DEV,1403356.91796875,4734.94916241293
40,1719,17,DEVONSHIRE,VALLEY BUREAU,17A49,PD,1719,0.01136501,DEV,87789.3203125,1365.05669322756
41,1934,19,MISSION,VALLEY BUREAU,19A43,PD,1934,0.02023985,MISN,311013.4140625,2590.64149993269
42,1721,17,DEVONSHIRE,VALLEY BUREAU,17A23,PD,1721,0.1178123,DEV,10813396.3945313,14256.674721102
43,1728,17,DEVONSHIRE,VALLEY BUREAU,17A35,PD,1728,0.05851064,DEV,2653753.90234375,7042.4503579921
44,1737,17,DEVONSHIRE,VALLEY BUREAU,17A35,PD,1737,0.05007086,DEV,2302040.69921875,6106.78854220984
45,1633,16,FOOTHILL,VALLEY BUREAU,16A23,PD,1633,0.0400073,FTHL,1256437.765625,4858.09613469798
46,1622,16,FOOTHILL,VALLEY BUREAU,16A11,PD,1622,0.0532427,FTHL,1864961.99609375,6571.47550732705
47,1727,17,DEVONSHIRE,VALLEY BUREAU,17A35,PD,1727,0.06458994,DEV,3865033.8046875,7885.50792696042
48,1723,17,DEVONSHIRE,VALLEY BUREAU,17A23,PD,1723,0.08427974,DEV,5701925.16796875,10097.1325025792
49,1943,19,MISSION,VALLEY BUREAU,19A43,PD,1943,0.05505592,MISN,1834555.90234375,6400.92300585886
50,1725,17,DEVONSHIRE,VALLEY BUREAU,17A23,PD,1725,0.05915908,DEV,3006855.48046875,7284.82648094108
51,1636,16,FOOTHILL,VALLEY BUREAU,16A35,PD,1636,0.07749973,FTHL,2694252.25,9308.48517698719
52,1623,16,FOOTHILL,VALLEY BUREAU,16A23,PD,1623,0.03395665,FTHL,814038.453125,4111.56953512049
53,1735,17,DEVONSHIRE,VALLEY BUREAU,17A35,PD,1735,0.06592739,DEV,2746369.7421875,7694.14647202012
54,1941,19,MISSION,VALLEY BUREAU,19A43,PD,1941,0.02609382,MISN,596184.6875,3276.79734893377
55,1738,17,DEVONSHIRE,VALLEY BUREAU,17A49,PD,1738,0.03896605,DEV,1166479.64453125,4571.88242110488
56,1645,16,FOOTHILL,VALLEY BUREAU,16A23,PD,1645,0.0481291,FTHL,2286475.80078125,5907.60518215494
57,1739,17,DEVONSHIRE,VALLEY BUREAU,17A49,PD,1739,0.03877921,DEV,495539.20703125,4503.82843690899
58,1621,16,FOOTHILL,VALLEY BUREAU,16A11,PD,1621,0.04058961,FTHL,1331397.3828125,4978.9283228705
59,1654,16,FOOTHILL,VALLEY BUREAU,16A23,PD,1654,0.05925754,FTHL,2437948.1015625,7228.03005436794
60,1945,19,MISSION,VALLEY BUREAU,19A43,PD,1945,0.05699636,MISN,804852.14453125,6584.88164778499
61,1637,16,FOOTHILL,VALLEY BUREAU,16A35,PD,1637,0.05143409,FTHL,1823173.9375,6096.82715002031
62,1643,16,FOOTHILL,VALLEY BUREAU,16A23,PD,1643,0.03508162,FTHL,870400.35546875,4294.12780355105
63,1655,16,FOOTHILL,VALLEY BUREAU,16A35,PD,1655,0.09167119,FTHL,7306853.4453125,11044.3938668197
64,1745,17,DEVONSHIRE,VALLEY BUREAU,17A49,PD,1745,0.06776324,DEV,2942843.62890625,7888.21731390514
65,1722,17,DEVONSHIRE,VALLEY BUREAU,17A23,PD,1722,0.04414428,DEV,1462837.91796875,5244.14577862294
